Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Price (CAD),Unit Price (CAD),Link,,
1,1,1528-4600-ND,4600,ADAFRUIT QT PY - SAMD21 DEV BOARD,8.31,8.31,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375,,
2,2,S7040-ND,PPPC071LFBN-RC,CONN HDR 7POS 0.1 GOLD,0.84,0.84,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPPC071LFBN-RC/810179,,
3,4,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.65,1.65,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND,,
4,1,CP-43514-ND,SJ-43514,CONN JACK 4COND 3.5MM,1.47,1.47,https://www.digikey.ca/en/products/detail/SJ-43514/CP-43514-ND/368146,,
5,4,36-4701-ND,4701,"HEX NUT 0.245"" STEEL 6-32",0.15,0.15,https://www.digikey.ca/en/products/detail/keystone-electronics/4701/316272,,
6,4,36-9309-ND,9309,MACH SCREW PAN HEAD SLOTTED 6-32,0.15,0.15,https://www.digikey.ca/en/products/detail/keystone-electronics/9309/2746088,,
,,,,,,,,,
,,,,,,,,,
,,,,,Total Price (CAD),19.26,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
